No_Transaksi,Tanggal,Waktu,Customer_ID,Items,Total_Item,Total_Harga,Metode_Pembayaran
TRX-20240519-002,2024-05-19,19:19,CUST-1157,"mangga, sosis",2,40000,Tunai
TRX-20240618-001,2024-06-18,09:56,CUST-1035,"tisu, biskuit, kopi, cokelat",4,69000,Debit
TRX-20240310-001,2024-03-10,12:38,CUST-1054,"minyak goreng, es krim",2,42000,QRIS
TRX-20240509-001,2024-05-09,15:16,CUST-1014,"kecap, tahu, minyak goreng, susu, roti tawar, keju, tempe, roti gandum",8,118000,Tunai
TRX-20240203-001,2024-02-03,18:16,CUST-1042,"roti tawar, mangga",2,30000,Tunai
TRX-20240625-002,2024-06-25,10:34,CUST-1010,"tomat, yogurt",2,22000,Tunai
TRX-20240403-001,2024-04-03,20:55,CUST-1011,"cokelat, es krim",2,35000,QRIS
TRX-20240331-001,2024-03-31,20:35,CUST-1105,"kopi, cokelat",2,50000,Kredit
TRX-20240215-001,2024-02-15,14:01,CUST-1046,"sosis, wortel",2,29000,QRIS
TRX-20240304-002,2024-03-04,12:10,CUST-1180,"mentega, susu, soda, jus jeruk, roti tawar, keju, roti gandum",7,114000,QRIS
TRX-20240427-001,2024-04-27,13:19,CUST-1059,"sabun, sampo, tempe, tisu",4,52000,Tunai
TRX-20240118-001,2024-01-18,20:17,CUST-1090,"kecap, tahu, minyak goreng, croissant, keju, tempe",6,93000,QRIS
TRX-20240307-001,2024-03-07,10:37,CUST-1068,"kecap, tahu, telur, tempe, minyak goreng, sosis, deterjen, nugget, saos",9,149000,Debit
TRX-20240510-001,2024-05-10,09:24,CUST-1148,"mentega, susu, roti tawar, bawang, kentang, jeruk, daging sapi, wortel",8,150000,Kredit
TRX-20240517-003,2024-05-17,18:46,CUST-1190,"ikan, tomat",2,38000,Tunai
TRX-20240619-001,2024-06-19,13:39,CUST-1081,"kacang, deterjen",2,27000,Debit
TRX-20240619-002,2024-06-19,14:20,CUST-1104,"wortel, jus jeruk",2,19000,QRIS
TRX-20240407-001,2024-04-07,18:47,CUST-1045,"kecap, minyak goreng, roti tawar, mangga, bawang, ayam",6,105000,Tunai
TRX-20240223-001,2024-02-23,14:50,CUST-1149,"minyak goreng, tomat, es krim, bawang, telur",5,80000,Tunai
TRX-20240501-001,2024-05-01,20:57,CUST-1189,"kecap, susu, minyak goreng, roti tawar, bawang, ayam, telur, cokelat",8,142000,QRIS
TRX-20240227-001,2024-02-27,20:12,CUST-1038,"susu, teh, biskuit, bayam, gula, yogurt, pisang",7,75000,Debit
TRX-20240610-002,2024-06-10,17:12,CUST-1184,"tempe, cokelat",2,21000,Tunai
TRX-20240625-003,2024-06-25,08:57,CUST-1193,"tomat, soda",2,17000,Tunai
TRX-20240627-001,2024-06-27,16:29,CUST-1013,"bayam, biskuit, kopi, cokelat",4,65000,Tunai
TRX-20240428-001,2024-04-28,18:33,CUST-1144,"apel, anggur, jeruk, deterjen, saos",5,90000,QRIS
TRX-20240419-001,2024-04-19,16:28,CUST-1041,"keripik, bawang",2,14000,QRIS
TRX-20240612-003,2024-06-12,12:49,CUST-1200,"biskuit, sabun, sampo, tisu",4,56000,Debit
TRX-20240314-001,2024-03-14,11:17,CUST-1086,"keripik, yogurt, cokelat, soda",4,46000,Tunai
TRX-20240408-001,2024-04-08,19:09,CUST-1181,"kecap, tahu, minyak goreng, anggur, ayam, tempe",6,117000,Debit
TRX-20240116-001,2024-01-16,11:53,CUST-1108,"jeruk, apel, gula, anggur",4,76000,Tunai
TRX-20240102-002,2024-01-02,13:19,CUST-1193,"anggur, biskuit, kopi, tisu, cokelat",5,104000,QRIS
TRX-20240603-001,2024-06-03,11:31,CUST-1057,"susu, tahu, yogurt, pisang",4,45000,Tunai
TRX-20240622-001,2024-06-22,20:25,CUST-1186,"susu, gula, kopi, yogurt, tempe, pisang",6,93000,Debit
TRX-20240618-002,2024-06-18,08:05,CUST-1165,"susu, teh, muffin, keju, roti gandum",5,77000,Tunai
TRX-20240324-001,2024-03-24,11:29,CUST-1084,"biskuit, kopi, cokelat, wortel",4,67000,Tunai
TRX-20240121-001,2024-01-21,15:01,CUST-1192,"minyak goreng, tomat, nugget, bawang, telur",5,88000,Tunai
TRX-20240615-001,2024-06-15,08:48,CUST-1008,"croissant, saos",2,28000,Tunai
TRX-20240202-001,2024-02-02,15:42,CUST-1030,"keripik, teh, biskuit, gula, sabun",5,52000,QRIS
TRX-20240212-001,2024-02-12,17:38,CUST-1192,"kacang, mentega",2,31000,Debit
TRX-20240320-001,2024-03-20,17:43,CUST-1097,"bawang, kentang, bagel, daging sapi, wortel",5,101000,Debit
TRX-20240609-001,2024-06-09,11:06,CUST-1179,"gula, roti gandum",2,29000,Tunai
TRX-20240419-002,2024-04-19,18:23,CUST-1018,"minyak goreng, tomat, bawang, telur, wortel",5,67000,QRIS
TRX-20240128-001,2024-01-28,14:23,CUST-1163,"sampo, krim",2,45000,Debit
TRX-20240513-001,2024-05-13,18:17,CUST-1158,"tomat, bayam",2,13000,QRIS
TRX-20240531-001,2024-05-31,12:20,CUST-1063,"biskuit, bawang",2,16000,Tunai
TRX-20240428-002,2024-04-28,17:39,CUST-1172,"mentega, susu, roti tawar, teh, telur",5,82000,Debit
TRX-20240331-002,2024-03-31,20:16,CUST-1088,"roti tawar, mangga, sosis, nugget, saos",5,90000,Debit
TRX-20240218-002,2024-02-18,09:15,CUST-1185,"keripik, sabun, cokelat, soda",4,44000,Debit
TRX-20240505-001,2024-05-05,15:50,CUST-1005,"kecap, tahu, minyak goreng, teh, biskuit, gula, kacang, tempe",8,88000,QRIS
TRX-20240404-001,2024-04-04,15:35,CUST-1136,"bawang, kentang, sabun, daging sapi, wortel",5,100000,Debit
TRX-20240319-001,2024-03-19,12:14,CUST-1031,"keju, tisu",2,37000,Debit
TRX-20240625-004,2024-06-25,10:12,CUST-1056,"garam, deterjen",2,23000,Kredit
TRX-20240514-001,2024-05-14,17:18,CUST-1026,"ikan, soda",2,39000,Tunai
TRX-20240104-001,2024-01-04,19:34,CUST-1033,"mentega, susu, roti tawar, yogurt, sabun",5,76000,Debit
TRX-20240505-002,2024-05-05,09:55,CUST-1004,"susu, bawang, ayam, yogurt, pisang",5,79000,Tunai
TRX-20240114-001,2024-01-14,12:55,CUST-1123,"kecap, tahu, tempe, susu, minyak goreng, roti tawar, gula, telur, bagel",9,126000,Debit
TRX-20240114-002,2024-01-14,10:09,CUST-1145,"keju, cokelat",2,43000,Debit
TRX-20240416-001,2024-04-16,17:38,CUST-1159,"keripik, soda, bawang, kacang, cokelat",5,47000,QRIS
TRX-20240419-003,2024-04-19,12:36,CUST-1159,"susu, minyak goreng, roti tawar, bawang, kentang, telur, daging sapi, wortel",8,162000,Tunai
TRX-20240618-003,2024-06-18,09:10,CUST-1062,"susu, roti tawar, gula, kopi, telur, wortel",6,108000,Debit
TRX-20240601-001,2024-06-01,15:18,CUST-1009,"bayam, bawang, kentang, sabun, daging sapi, wortel",6,105000,Tunai
TRX-20240229-001,2024-02-29,12:50,CUST-1161,"jeruk, tomat, apel, anggur",4,70000,Tunai
TRX-20240227-002,2024-02-27,18:09,CUST-1069,"kopi, muffin",2,45000,QRIS
TRX-20240601-002,2024-06-01,19:52,CUST-1146,"keju, bayam",2,33000,QRIS
TRX-20240628-001,2024-06-28,14:17,CUST-1129,"susu, kecap, yogurt, pisang",4,50000,Tunai
TRX-20240420-001,2024-04-20,19:20,CUST-1155,"roti tawar, es krim, telur, susu",4,72000,QRIS
TRX-20240527-001,2024-05-27,17:01,CUST-1196,"gula, roti gandum",2,29000,QRIS
TRX-20240214-001,2024-02-14,15:33,CUST-1167,"kecap, minyak goreng, bawang, ayam, garam",5,80000,Debit
TRX-20240505-003,2024-05-05,09:30,CUST-1090,"minyak goreng, tomat, bawang, kopi, telur",5,95000,Tunai
TRX-20240626-001,2024-06-26,15:18,CUST-1170,"bayam, susu",2,21000,Tunai
TRX-20240323-001,2024-03-23,09:49,CUST-1104,"anggur, sosis",2,57000,Debit
TRX-20240114-003,2024-01-14,11:33,CUST-1093,"air mineral, susu, yogurt, muffin, pisang",5,53000,Tunai
TRX-20240203-002,2024-02-03,12:28,CUST-1179,"roti tawar, sampo, mentega, susu",4,75000,Tunai
TRX-20240521-001,2024-05-21,08:35,CUST-1105,"susu, roti tawar, nugget, keju, telur, roti gandum",6,123000,QRIS
TRX-20240507-001,2024-05-07,19:18,CUST-1131,"kentang, cokelat",2,25000,Debit
TRX-20240207-001,2024-02-07,14:12,CUST-1154,"bagel, biskuit, kopi, cokelat",4,73000,Tunai
TRX-20240416-002,2024-04-16,13:59,CUST-1130,"mentega, susu, roti tawar, deterjen, kacang",5,77000,QRIS
TRX-20240528-001,2024-05-28,18:31,CUST-1039,"susu, mangga, ayam, yogurt, pisang",5,91000,QRIS
TRX-20240406-001,2024-04-06,15:59,CUST-1083,"tahu, gula",2,21000,Tunai
TRX-20240415-001,2024-04-15,08:20,CUST-1191,"tahu, biskuit, kopi, sosis, cokelat",5,89000,QRIS
TRX-20240615-002,2024-06-15,10:31,CUST-1010,"minyak goreng, nugget, tomat, bawang, sosis, telur, saos",7,120000,Tunai
TRX-20240426-002,2024-04-26,08:46,CUST-1037,"sabun, sampo, bagel, tisu",4,59000,Debit
TRX-20240308-004,2024-03-08,13:39,CUST-1178,"susu, roti tawar, anggur, es krim, telur",5,107000,Tunai
TRX-20240322-001,2024-03-22,18:45,CUST-1195,"keripik, saos, cokelat, soda",4,42000,Tunai
TRX-20240610-003,2024-06-10,18:58,CUST-1074,"tomat, mentega",2,30000,QRIS
TRX-20240629-001,2024-06-29,09:28,CUST-1043,"telur, roti gandum",2,39000,QRIS
TRX-20240316-001,2024-03-16,13:23,CUST-1111,"keripik, kecap, tahu, soda, minyak goreng, kopi, tempe, cokelat",8,114000,Tunai
TRX-20240605-001,2024-06-05,14:39,CUST-1175,"biskuit, kopi, cokelat, soda",4,69000,Debit
TRX-20240306-001,2024-03-06,15:16,CUST-1171,"apel, susu, anggur, es krim, jeruk, yogurt, pisang",7,120000,Tunai
TRX-20240423-001,2024-04-23,13:37,CUST-1077,"kecap, tahu, minyak goreng, bayam, kacang, tempe",6,61000,Tunai
TRX-20240408-002,2024-04-08,15:06,CUST-1061,"minyak goreng, tomat, permen, bawang, sabun, telur",6,77000,Tunai
TRX-20240617-002,2024-06-17,14:17,CUST-1003,"kecap, sabun, sampo, tisu",4,58000,QRIS
TRX-20240314-002,2024-03-14,20:51,CUST-1059,"minyak goreng, tomat, telur, bawang",4,60000,Tunai
TRX-20240305-001,2024-03-05,18:48,CUST-1185,"mentega, minyak goreng",2,44000,Kredit
TRX-20240614-001,2024-06-14,08:19,CUST-1113,"minyak goreng, susu, tomat, bawang, kentang, telur, daging sapi, wortel",8,158000,Kredit
TRX-20240324-002,2024-03-24,19:26,CUST-1045,"pisang, jeruk, apel, anggur",4,70000,Kredit
TRX-20240212-002,2024-02-12,12:58,CUST-1124,"tisu, ayam",2,44000,QRIS
TRX-20240429-002,2024-04-29,09:09,CUST-1194,"ikan, mangga",2,48000,Tunai
TRX-20240411-001,2024-04-11,08:16,CUST-1138,"tahu, minyak goreng, tomat, bawang, garam, tisu, sampo, sabun, telur",9,118000,QRIS
TRX-20240405-001,2024-04-05,09:43,CUST-1060,"soda, nugget, saos, sosis",4,69000,Debit
TRX-20240611-001,2024-06-11,15:58,CUST-1180,"kecap, tahu, minyak goreng, yogurt, tempe",5,61000,Tunai
TRX-20240110-001,2024-01-10,12:31,CUST-1030,"keripik, tahu, soda, biskuit, kopi, cokelat",6,84000,Debit
TRX-20240620-002,2024-06-20,19:44,CUST-1139,"kentang, daging sapi, bawang, wortel",4,88000,QRIS
TRX-20240505-004,2024-05-05,17:26,CUST-1072,"minyak goreng, teh, tomat, biskuit, bawang, gula, telur, cokelat",8,107000,QRIS
TRX-20240126-001,2024-01-26,18:23,CUST-1140,"tempe, muffin",2,16000,Tunai
TRX-20240201-002,2024-02-01,15:05,CUST-1170,"sabun, sampo, tisu, muffin",4,56000,QRIS
TRX-20240303-001,2024-03-03,10:50,CUST-1145,"keju, garam, susu, roti gandum",4,64000,Tunai
TRX-20240229-002,2024-02-29,13:49,CUST-1038,"biskuit, krim",2,30000,Kredit
TRX-20240518-001,2024-05-18,12:51,CUST-1045,"mentega, susu, roti tawar, keju, roti gandum",5,93000,Tunai
TRX-20240301-001,2024-03-01,17:20,CUST-1005,"mentega, susu, roti tawar, jeruk, gula, kopi, keju",7,139000,QRIS
TRX-20240501-002,2024-05-01,15:49,CUST-1093,"soda, susu, roti tawar, telur, pisang",5,69000,Kredit
TRX-20240112-002,2024-01-12,19:50,CUST-1169,"susu, yogurt, pisang, muffin",4,48000,Kredit
TRX-20240412-002,2024-04-12,14:43,CUST-1028,"susu, biskuit, kopi, bagel, cokelat",5,89000,Tunai
TRX-20240207-002,2024-02-07,09:08,CUST-1071,"kecap, tahu, sosis, nugget, saos",5,79000,Debit
TRX-20240426-003,2024-04-26,16:38,CUST-1111,"susu, roti tawar, tomat, bawang, kentang, telur, daging sapi, wortel",8,148000,Debit
TRX-20240228-001,2024-02-28,14:21,CUST-1117,"bawang, kentang, telur, daging sapi, wortel",5,112000,Debit
TRX-20240619-003,2024-06-19,12:23,CUST-1040,"bagel, susu",2,29000,QRIS
TRX-20240124-001,2024-01-24,14:06,CUST-1191,"mangga, muffin",2,28000,Debit
TRX-20240523-002,2024-05-23,16:21,CUST-1172,"minyak goreng, susu, tomat, bawang, deterjen, muffin, keju, telur, roti gandum",9,147000,Kredit
TRX-20240602-001,2024-06-02,12:22,CUST-1027,"teh, biskuit, gula, sosis",4,54000,Debit
TRX-20240128-002,2024-01-28,13:54,CUST-1143,"apel, soda, anggur, jeruk, gula",5,85000,QRIS
TRX-20240523-003,2024-05-23,20:52,CUST-1160,"kecap, sabun, sampo, tisu",4,58000,Kredit
TRX-20240626-002,2024-06-26,12:01,CUST-1047,"apel, anggur, ayam, jeruk, daging sapi",5,162000,Tunai
TRX-20240206-001,2024-02-06,17:42,CUST-1103,"susu, bawang, kentang, tisu, sabun, sampo, daging sapi, wortel",8,150000,QRIS
TRX-20240225-001,2024-02-25,14:26,CUST-1117,"minyak goreng, tomat, bawang, deterjen, telur",5,78000,QRIS
TRX-20240525-002,2024-05-25,17:05,CUST-1014,"apel, anggur, es krim, jeruk, sosis, nugget, saos",7,142000,Tunai
TRX-20240423-002,2024-04-23,18:27,CUST-1125,"kecap, tahu, air mineral, minyak goreng, tempe, pisang",6,60000,Tunai
TRX-20240420-002,2024-04-20,09:18,CUST-1174,"jeruk, sosis",2,34000,Tunai
TRX-20240226-001,2024-02-26,14:38,CUST-1015,"keripik, kecap, minyak goreng, teh, biskuit, bawang, ayam, gula",8,115000,Tunai
TRX-20240131-001,2024-01-31,08:31,CUST-1192,"susu, anggur, kopi, gula, sampo",5,125000,Tunai
TRX-20240523-004,2024-05-23,18:51,CUST-1091,"wortel, susu, tomat, bawang, kentang, keju, daging sapi, roti gandum",8,155000,Tunai
TRX-20240120-001,2024-01-20,13:36,CUST-1110,"permen, bawang, kentang, keju, daging sapi, wortel",6,121000,Debit
TRX-20240324-003,2024-03-24,10:51,CUST-1159,"susu, tomat, bawang, kentang, daging sapi, wortel",6,112000,QRIS
TRX-20240303-002,2024-03-03,14:37,CUST-1103,"kecap, tahu, minyak goreng, ayam, tisu, tempe",6,91000,Tunai
TRX-20240213-001,2024-02-13,09:32,CUST-1163,"keripik, soda, teh, biskuit, daging sapi, gula, deterjen, cokelat",8,147000,Kredit
TRX-20240614-002,2024-06-14,10:15,CUST-1027,"susu, teh, biskuit, gula, kopi, nugget",6,111000,Tunai
TRX-20240609-002,2024-06-09,15:29,CUST-1194,"es krim, gula, sosis, nugget, saos",5,94000,Debit
TRX-20240608-001,2024-06-08,13:55,CUST-1161,"susu, kentang, yogurt, pisang",4,48000,Debit
TRX-20240318-001,2024-03-18,20:17,CUST-1152,"keripik, soda, susu, roti tawar, bayam, bawang, telur, cokelat",8,95000,Tunai
TRX-20240404-002,2024-04-04,12:04,CUST-1166,"kecap, saos",2,22000,Debit
TRX-20240428-003,2024-04-28,17:35,CUST-1190,"nugget, gula",2,42000,Tunai
TRX-20240603-002,2024-06-03,15:32,CUST-1039,"mentega, ayam",2,57000,Kredit
TRX-20240122-001,2024-01-22,16:41,CUST-1045,"susu, bawang, kentang, jeruk, yogurt, saos, daging sapi, pisang, wortel",9,148000,Tunai
TRX-20240405-002,2024-04-05,12:24,CUST-1105,"nugget, minyak goreng",2,50000,Tunai
TRX-20240325-001,2024-03-25,09:35,CUST-1174,"kecap, minyak goreng, bawang, ayam",4,75000,Tunai
TRX-20240618-004,2024-06-18,10:58,CUST-1090,"kecap, yogurt, tisu, sabun, sampo",5,72000,QRIS
TRX-20240122-002,2024-01-22,12:35,CUST-1097,"minyak goreng, tomat, bawang, sosis, telur",5,82000,QRIS
TRX-20240624-001,2024-06-24,16:05,CUST-1166,"croissant, ikan",2,48000,Tunai
TRX-20240224-001,2024-02-24,13:49,CUST-1125,"susu, biskuit, permen, kopi, gula, cokelat",6,95000,QRIS
TRX-20240126-002,2024-01-26,16:49,CUST-1139,"sosis, ayam",2,57000,QRIS
TRX-20240607-001,2024-06-07,10:38,CUST-1097,"susu, kopi, gula, deterjen, keju, roti gandum",6,126000,Debit
TRX-20240415-002,2024-04-15,13:43,CUST-1185,"susu, bawang, tisu, yogurt, pisang",5,53000,Tunai
TRX-20240302-002,2024-03-02,12:51,CUST-1121,"ikan, es krim",2,50000,Kredit
TRX-20240422-001,2024-04-22,15:49,CUST-1073,"kopi, jus jeruk",2,47000,QRIS
TRX-20240205-001,2024-02-05,12:03,CUST-1165,"minyak goreng, tomat, bawang, sampo, telur",5,85000,QRIS
TRX-20240201-003,2024-02-01,12:05,CUST-1196,"keripik, susu, soda, tomat, yogurt, cokelat, pisang",7,78000,Tunai
TRX-20240226-002,2024-02-26,15:56,CUST-1090,"tempe, muffin",2,16000,Debit
TRX-20240301-002,2024-03-01,14:05,CUST-1096,"minyak goreng, tomat, bawang, sampo, telur",5,85000,Debit
TRX-20240207-003,2024-02-07,10:02,CUST-1074,"sabun, yogurt",2,26000,QRIS
TRX-20240430-001,2024-04-30,15:39,CUST-1002,"keripik, air mineral",2,13000,QRIS
TRX-20240520-003,2024-05-20,19:38,CUST-1136,"apel, anggur, jeruk, kacang, cokelat",5,86000,Tunai
TRX-20240302-003,2024-03-02,14:40,CUST-1160,"kecap, susu, roti tawar, anggur, telur",5,99000,Tunai
TRX-20240511-001,2024-05-11,17:15,CUST-1184,"kecap, tahu, mentega, minyak goreng, susu, roti tawar, gula, tempe, cokelat",9,126000,Debit
TRX-20240619-004,2024-06-19,18:05,CUST-1135,"anggur, jeruk",2,47000,Debit
TRX-20240509-002,2024-05-09,16:01,CUST-1100,"tahu, minyak goreng",2,29000,Kredit
TRX-20240305-002,2024-03-05,19:01,CUST-1092,"cokelat, deterjen",2,33000,QRIS
TRX-20240127-001,2024-01-27,20:37,CUST-1189,"daging sapi, roti gandum",2,80000,Debit
TRX-20240613-002,2024-06-13,10:53,CUST-1200,"teh, minyak goreng",2,30000,QRIS
TRX-20240117-001,2024-01-17,19:49,CUST-1118,"mentega, susu, teh, roti tawar, biskuit, gula, roti gandum",7,97000,Tunai
TRX-20240320-002,2024-03-20,16:25,CUST-1140,"roti tawar, permen, mentega, susu",4,55000,Tunai
TRX-20240113-002,2024-01-13,18:21,CUST-1070,"kecap, tahu, tempe, minyak goreng, tomat, bawang, tisu, telur",8,94000,QRIS
TRX-20240408-003,2024-04-08,13:11,CUST-1128,"biskuit, jeruk",2,22000,QRIS
TRX-20240418-001,2024-04-18,09:27,CUST-1155,"anggur, permen",2,40000,Tunai
TRX-20240121-002,2024-01-21,13:42,CUST-1076,"kopi, sosis, sabun, nugget, saos",5,107000,Debit
TRX-20240424-001,2024-04-24,08:46,CUST-1091,"kecap, tahu, minyak goreng, muffin, tempe",5,57000,Tunai
TRX-20240612-004,2024-06-12,14:23,CUST-1132,"croissant, krim",2,38000,QRIS
TRX-20240622-002,2024-06-22,20:28,CUST-1009,"ikan, tahu, apel, teh, anggur, biskuit, jeruk, gula",8,131000,Kredit
TRX-20240109-001,2024-01-09,17:09,CUST-1174,"minyak goreng, tomat, bawang, telur, bagel",5,73000,Debit
TRX-20240515-002,2024-05-15,13:25,CUST-1081,"croissant, teh, biskuit, gula",4,50000,QRIS
TRX-20240507-002,2024-05-07,16:24,CUST-1144,"kecap, air mineral, apel, minyak goreng, anggur, bawang, ayam, jeruk, saos",9,152000,Tunai
TRX-20240505-005,2024-05-05,11:07,CUST-1035,"teh, sampo",2,33000,Debit
TRX-20240123-001,2024-01-23,20:43,CUST-1082,"anggur, mangga",2,53000,Tunai
TRX-20240317-001,2024-03-17,10:45,CUST-1182,"ikan, pisang",2,38000,Tunai
TRX-20240221-001,2024-02-21,20:08,CUST-1061,"ikan, mangga",2,48000,Debit
TRX-20240429-003,2024-04-29,20:35,CUST-1034,"roti tawar, kacang, telur, susu",4,61000,Tunai
TRX-20240502-001,2024-05-02,16:26,CUST-1197,"nugget, saos, yogurt, sosis",4,74000,Kredit
TRX-20240613-003,2024-06-13,09:28,CUST-1120,"mangga, yogurt",2,32000,Debit
TRX-20240216-001,2024-02-16,20:08,CUST-1111,"keju, susu, roti gandum",3,59000,Debit
TRX-20240318-002,2024-03-18,10:10,CUST-1083,"jeruk, daging sapi",2,77000,QRIS
TRX-20240121-003,2024-01-21,12:12,CUST-1163,"yogurt, minyak goreng",2,36000,Tunai
TRX-20240516-001,2024-05-16,09:32,CUST-1165,"susu, gula, kopi, sosis, nugget, saos",6,125000,Debit
TRX-20240603-003,2024-06-03,13:53,CUST-1145,"mentega, susu, roti tawar, keju, roti gandum",5,93000,Kredit
TRX-20240527-002,2024-05-27,12:41,CUST-1054,"saos, minyak goreng",2,32000,Tunai
TRX-20240609-003,2024-06-09,16:18,CUST-1165,"cokelat, es krim",2,35000,Debit
TRX-20240426-004,2024-04-26,09:44,CUST-1016,"kecap, tahu, air mineral, minyak goreng, susu, ayam, yogurt, tempe, pisang",9,125000,Debit
TRX-20240321-001,2024-03-21,19:20,CUST-1188,"tempe, yogurt",2,20000,QRIS
TRX-20240511-002,2024-05-11,16:06,CUST-1082,"susu, roti tawar, bawang, telur, cokelat",5,73000,Tunai
TRX-20240113-003,2024-01-13,12:24,CUST-1158,"keju, telur, susu, roti gandum",4,83000,Kredit
TRX-20240321-002,2024-03-21,11:48,CUST-1041,"keripik, apel, soda, kacang, cokelat",5,56000,Debit
TRX-20240124-002,2024-01-24,14:32,CUST-1118,"garam, daging sapi",2,70000,Tunai
TRX-20240313-001,2024-03-13,15:38,CUST-1168,"anggur, roti tawar",2,47000,QRIS
TRX-20240420-003,2024-04-20,10:56,CUST-1068,"ikan, roti gandum",2,45000,Debit
TRX-20240525-003,2024-05-25,16:12,CUST-1093,"susu, roti tawar, bawang, telur, pisang",5,66000,QRIS
TRX-20240312-001,2024-03-12,17:43,CUST-1157,"kecap, tahu, tempe, susu, minyak goreng, roti tawar, mangga, ayam, telur",9,152000,Kredit
TRX-20240206-002,2024-02-06,11:38,CUST-1131,"roti tawar, mentega, susu, roti gandum",4,65000,Tunai
